,RAP,MSU1
521,Os01g0152687,LOC_Os01g05940
522,Os01g0152700,None
523,Os01g0152800,LOC_Os01g05960
524,Os01g0152850,None
525,Os01g0152900,LOC_Os01g05970
526,Os01g0152950,None
527,Os01g0152951,None
528,Os01g0153000,LOC_Os01g05980
529,Os01g0153050,None
530,Os01g0153100,LOC_Os01g05970
531,Os01g0153150,None
532,Os01g0153200,LOC_Os01g06000
533,Os01g0153250,LOC_Os01g06000
534,Os01g0153275,None
535,Os01g0153300,LOC_Os01g06010
536,Os01g0153400,LOC_Os01g06020
537,Os01g0153500,LOC_Os01g06030
538,Os01g0153550,None
539,Os01g0153600,LOC_Os01g06040
540,Os01g0153625,None
541,Os01g0153651,None
542,Os01g0153700,LOC_Os01g06050
543,Os01g0153800,LOC_Os01g06060
544,Os01g0153900,LOC_Os01g06070
545,Os01g0153950,LOC_Os01g06080
546,Os01g0154000,LOC_Os01g06080
547,Os01g0154100,LOC_Os01g06090
548,Os01g0154200,LOC_Os01g06120
549,Os01g0154250,None
550,Os01g0154300,LOC_Os01g06130
551,Os01g0154500,LOC_Os01g06140
552,Os01g0154550,None
553,Os01g0154600,LOC_Os01g06150
554,Os01g0154950,None
555,Os01g0155000,LOC_Os01g06220
556,Os01g0155100,LOC_Os01g06230
557,Os01g0155200,LOC_Os01g06240
558,Os01g0155300,LOC_Os01g06250
559,Os01g0155400,LOC_Os01g06270
560,Os01g0155500,LOC_Os01g06280
561,Os01g0155600,LOC_Os01g06290
562,Os01g0155800,LOC_Os01g06310
563,Os01g0156000,LOC_Os01g06320
564,Os01g0156300,LOC_Os01g06340
565,Os01g0156400,LOC_Os01g06350
566,Os01g0156500,LOC_Os01g06360
567,Os01g0156600,LOC_Os01g06360
568,Os01g0156900,LOC_Os01g06380
569,Os01g0157001,LOC_Os01g06380
570,Os01g0157100,LOC_Os01g06390
571,Os01g0157200,LOC_Os01g06400
572,Os01g0157300,LOC_Os01g06410
573,Os01g0157400,LOC_Os01g06420
574,Os01g0157500,LOC_Os01g06430
575,Os01g0157600,LOC_Os01g06440
576,Os01g0157700,LOC_Os01g06450
577,Os01g0157800,LOC_Os01g06454
578,Os01g0157900,LOC_Os01g06460
579,Os01g0158000,LOC_Os01g06470
580,Os01g0158100,None
581,Os01g0158200,LOC_Os01g06490
582,Os01g0158400,LOC_Os01g06500
583,Os01g0158500,LOC_Os01g06510
584,Os01g0158533,None
585,Os01g0158566,None
586,Os01g0158600,LOC_Os01g06520
587,Os01g0158800,LOC_Os01g06540
588,Os01g0158850,LOC_Os01g06530
589,Os01g0158900,LOC_Os01g06550
590,Os01g0159000,LOC_Os01g06560
591,Os01g0159200,LOC_Os01g06580
592,Os01g0159250,None
593,Os01g0159300,LOC_Os01g06590
594,Os01g0159400,LOC_Os01g06600
595,Os01g0159500,LOC_Os01g06620
596,Os01g0159600,LOC_Os01g06630
597,Os01g0159800,LOC_Os01g06640
598,Os01g0160100,LOC_Os01g06660
599,Os01g0160150,None
600,Os01g0160200,LOC_Os01g06670
601,Os01g0160600,LOC_Os01g06720
602,Os01g0160700,LOC_Os01g06730
603,Os01g0160750,None
604,Os01g0160800,LOC_Os01g06740
605,Os01g0160850,None
606,Os01g0160900,LOC_Os01g06750
607,Os01g0161000,LOC_Os01g06760
608,Os01g0161200,None
609,Os01g0161300,LOC_Os01g06790
610,Os01g0162001,None
611,Os01g0162101,None
612,Os01g0162200,LOC_Os01g06870
613,Os01g0162300,LOC_Os01g06876
614,Os01g0162400,LOC_Os01g06882
615,Os01g0162500,LOC_Os01g06890
616,Os01g0162600,None
617,Os01g0162701,None
618,Os01g0162800,LOC_Os01g06900
619,Os01g0162900,None
620,Os01g0163000,LOC_Os01g06920
621,Os01g0163100,LOC_Os01g06940
622,Os01g0163300,LOC_Os01g06960
623,Os01g0163450,None
624,Os01g0163533,LOC_Os01g06970
625,Os01g0163600,LOC_Os01g06990
626,Os01g0163616,None
627,Os01g0163701,None
628,Os01g0163812,LOC_Os01g07000
629,Os01g0164000,LOC_Os01g07020
630,Os01g0164025,LOC_Os01g07010
631,Os01g0164075,LOC_Os01g07030
632,Os01g0164100,LOC_Os01g07040
633,Os01g0164200,LOC_Os01g07050
634,Os01g0164300,LOC_Os01g07060
635,Os01g0164400,LOC_Os01g07070
636,Os01g0164500,LOC_Os01g07080
637,Os01g0164600,LOC_Os01g07090
638,Os01g0164650,None
639,Os01g0164700,LOC_Os01g07100
640,Os01g0164800,LOC_Os01g07110
641,Os01g0165000,LOC_Os01g07120
642,Os01g0165100,LOC_Os01g07130
643,Os01g0165200,LOC_Os01g07140
644,Os01g0165600,LOC_Os01g07150
645,Os01g0165666,LOC_Os01g07160
646,Os01g0165800,LOC_Os01g07170
647,Os01g0166000,LOC_Os01g07190
648,Os01g0166100,LOC_Os01g07200
649,Os01g0166200,None
650,Os01g0166300,LOC_Os01g07212
651,Os01g0166400,LOC_Os01g07212
652,Os01g0166500,LOC_Os01g07240
653,Os01g0166700,LOC_Os01g07250
654,Os01g0166800,LOC_Os01g07260
655,Os01g0167000,LOC_Os01g07280
656,Os01g0167100,None
657,Os01g0167400,LOC_Os01g07300
658,Os01g0167500,LOC_Os01g07310
659,Os01g0167600,LOC_Os01g07320
660,Os01g0167700,LOC_Os01g07330
661,Os01g0167750,LOC_Os01g07340
662,Os01g0167800,LOC_Os01g07350
663,Os01g0167900,LOC_Os01g07360
664,Os01g0168000,LOC_Os01g07364
665,Os01g0168100,LOC_Os01g07370
666,Os01g0168200,LOC_Os01g07376
667,Os01g0168300,LOC_Os01g07382
668,Os01g0168350,None
669,Os01g0168400,LOC_Os01g07390
670,Os01g0168450,None
671,Os01g0168500,LOC_Os01g07400
672,Os01g0168600,LOC_Os01g07410
673,Os01g0168800,LOC_Os01g07420
674,Os01g0168850,None
675,Os01g0168900,LOC_Os01g07430
676,Os01g0169000,None
677,Os01g0169100,LOC_Os01g07450
678,Os01g0169400,LOC_Os01g07480
679,Os01g0169500,LOC_Os01g07490
680,Os01g0169600,None
681,Os01g0169700,None
682,Os01g0169800,LOC_Os01g07500
683,Os01g0169900,LOC_Os01g07520
684,Os01g0170000,LOC_Os01g07530
685,Os01g0170051,None
686,Os01g0170100,LOC_Os01g07540
687,Os01g0170300,LOC_Os01g07560
688,Os01g0170500,LOC_Os01g07570
689,Os01g0170600,LOC_Os01g07590
690,Os01g0170700,LOC_Os01g07600
691,Os01g0170750,None
692,Os01g0170800,LOC_Os01g07610
693,Os01g0170900,LOC_Os01g07620
694,Os01g0171000,LOC_Os01g07630
695,Os01g0171100,LOC_Os01g07640
696,Os01g0171200,LOC_Os01g07660
697,Os01g0171300,LOC_Os01g07650
698,Os01g0171466,None
699,Os01g0171600,LOC_Os01g07670
700,Os01g0171701,LOC_Os01g07680
701,Os01g0171800,LOC_Os01g07700
702,Os01g0171900,LOC_Os01g07710
703,Os01g0172000,LOC_Os01g07720
704,Os01g0172100,LOC_Os01g07730
705,Os01g0172200,LOC_Os01g07740
706,Os01g0172300,LOC_Os01g07750
707,Os01g0172400,LOC_Os01g07760
708,Os01g0172500,None
709,Os01g0172600,LOC_Os01g07770
710,Os01g0172701,None
711,Os01g0172800,LOC_Os01g07780
712,Os01g0172900,LOC_Os01g07790
713,Os01g0173000,LOC_Os01g07800
714,Os01g0173100,LOC_Os01g07810
715,Os01g0173200,None
716,Os01g0173400,LOC_Os01g07840
717,Os01g0173600,LOC_Os01g07850
718,Os01g0173701,None
719,Os01g0173801,None
720,Os01g0173900,LOC_Os01g07870
721,Os01g0173950,None
722,Os01g0174000,LOC_Os01g07880
723,Os01g0174100,LOC_Os01g07890
724,Os01g0174200,LOC_Os01g07900
725,Os01g0174300,LOC_Os01g07910
726,Os01g0174400,None
727,Os01g0174500,LOC_Os01g07920
728,Os01g0174600,LOC_Os01g07930
729,Os01g0174700,LOC_Os01g07940
730,Os01g0174900,LOC_Os01g07950
731,Os01g0175000,LOC_Os01g07960
732,Os01g0175100,LOC_Os01g07970
733,Os01g0175400,LOC_Os01g08000
734,Os01g0175500,LOC_Os01g08010
735,Os01g0175600,LOC_Os01g08020
736,Os01g0175633,None
737,Os01g0175666,None
738,Os01g0175700,LOC_Os01g08020
739,Os01g0175733,None
740,Os01g0175766,None
741,Os01g0175800,LOC_Os01g08050
742,Os01g0175850,None
743,Os01g0176000,LOC_Os01g08090
744,Os01g0176050,None
745,Os01g0176100,LOC_Os01g08100
746,Os01g0176150,None
747,Os01g0176200,LOC_Os01g08110
748,Os01g0176300,LOC_Os01g08120
